LOCATION,DAY,DATE,TIME_WIB,TDS_PPM,TEMP_RIVER_C,TEMP_AIR_C
Pondok_Hijau_Indah,Sat,6/16/17,14:00,110,20,30
Pondok_Hijau_Indah,Sat,6/16/17,16:00,123,20,26
Pondok_Hijau_Indah,Sun,6/17/17,10:00,122,17,21
Pondok_Hijau_Indah,Sun,6/17/17,12:00,93,21,28
Pondok_Hijau_Indah,Sun,6/17/17,14:00,108,20,29
Pondok_Hijau_Indah,Sun,6/17/17,16:00,122,21,29
Pondok_Hijau_Indah,Mon,6/25/17,10:00,81,19,27
Pondok_Hijau_Indah,Mon,6/25/17,12:00,85,18,26
Pondok_Hijau_Indah,Mon,6/25/17,14:00,82,20,33
Pondok_Hijau_Indah,Mon,6/25/17,16:00,84,18,26
Pondok_Hijau_Indah,Tue,6/26/17,10:00,98,19,23
Pondok_Hijau_Indah,Tue,6/26/17,12:00,100,21,30
Pondok_Hijau_Indah,Tue,6/26/17,14:00,86,25,29
Pondok_Hijau_Indah,Tue,6/26/17,16:00,91,23,29
Pondok_Hijau_Indah,Wed,6/27/17,10:00,98,20,21
Pondok_Hijau_Indah,Wed,6/27/17,12:00,82,21,29
Pondok_Hijau_Indah,Wed,6/27/17,14:00,88,23,29
Pondok_Hijau_Indah,Wed,6/27/17,16:00,84,21,28
Pondok_Hijau_Indah,Thu,6/28/17,10:00,83,18,23
Pondok_Hijau_Indah,Thu,6/28/17,12:00,97,23,28
Pondok_Hijau_Indah,Thu,6/28/17,14:00,100,21,32
Pondok_Hijau_Indah,Thu,6/28/17,16:00,89,21,25
Pondok_Hijau_Indah,Fri,6/29/17,10:00,111,15,21
Pondok_Hijau_Indah,Fri,6/29/17,12:00,91,19,26
Pondok_Hijau_Indah,Fri,6/29/17,14:00,102,21,29
Pondok_Hijau_Indah,Fri,6/29/17,16:00,96,18,26
Pondok_Hijau_Indah,Sat,6/30/17,10:00,93,15,23
Pondok_Hijau_Indah,Sat,6/30/17,12:00,96,20,27
Pondok_Hijau_Indah,Sat,6/30/17,14:00,125,25,34
Pondok_Hijau_Indah,Sat,6/30/17,16:00,109,23,30
Pondok_Hijau_Indah,Sun,7/1/17,10:00,104,17,27
Pondok_Hijau_Indah,Sun,7/1/17,12:00,100,22,30
Pondok_Hijau_Indah,Sun,7/1/17,14:00,119,23,34
Pondok_Hijau_Indah,Sun,7/1/17,16:00,113,23,29
Pondok_Hijau_Indah,Mon,7/23/17,10:00,88,19,23
Pondok_Hijau_Indah,Mon,7/23/17,12:00,97,20,28
Pondok_Hijau_Indah,Mon,7/23/17,14:00,98,20,32
Pondok_Hijau_Indah,Mon,7/23/17,16:00,91,23,26
Pondok_Hijau_Indah,Tue,7/24/17,10:00,100,18,27
Pondok_Hijau_Indah,Tue,7/24/17,12:00,88,21,30
Pondok_Hijau_Indah,Tue,7/24/17,14:00,80,25,32
Pondok_Hijau_Indah,Tue,7/24/17,16:00,86,18,25
Pondok_Hijau_Indah,Wed,7/25/17,10:00,91,19,21
Pondok_Hijau_Indah,Wed,7/25/17,12:00,91,21,25
Pondok_Hijau_Indah,Wed,7/25/17,14:00,91,23,32
Pondok_Hijau_Indah,Wed,7/25/17,16:00,88,20,30
Pondok_Hijau_Indah,Thu,7/26/17,10:00,94,15,21
Pondok_Hijau_Indah,Thu,7/26/17,12:00,81,23,27
Pondok_Hijau_Indah,Thu,7/26/17,14:00,83,20,29
Pondok_Hijau_Indah,Thu,7/26/17,16:00,80,18,26
Pondok_Hijau_Indah,Fri,7/27/17,10:00,117,16,27
Pondok_Hijau_Indah,Fri,7/27/17,12:00,92,23,27
Pondok_Hijau_Indah,Fri,7/27/17,14:00,120,24,28
Pondok_Hijau_Indah,Fri,7/27/17,16:00,122,20,26
Pondok_Hijau_Indah,Sat,7/28/17,10:00,106,16,26
Pondok_Hijau_Indah,Sat,7/28/17,12:00,112,19,26
Pondok_Hijau_Indah,Sat,7/28/17,14:00,91,24,33
Pondok_Hijau_Indah,Sat,7/28/17,16:00,110,23,29
Pondok_Hijau_Indah,Sun,7/29/17,10:00,102,19,23
Pondok_Hijau_Indah,Sun,7/29/17,12:00,98,21,26
Pondok_Hijau_Indah,Sun,7/29/17,14:00,110,22,29
Pondok_Hijau_Indah,Sun,7/29/17,16:00,115,21,30
Pondok_Hijau_Indah,Mon,8/6/17,10:00,98,20,23
Pondok_Hijau_Indah,Mon,8/6/17,12:00,88,19,29
Pondok_Hijau_Indah,Mon,8/6/17,14:00,99,23,33
Pondok_Hijau_Indah,Mon,8/6/17,16:00,99,22,25
Pondok_Hijau_Indah,Tue,8/7/17,10:00,98,19,27
Pondok_Hijau_Indah,Tue,8/7/17,12:00,84,19,25
Pondok_Hijau_Indah,Tue,8/7/17,14:00,95,22,30
Pondok_Hijau_Indah,Tue,8/7/17,16:00,80,22,29
Pondok_Hijau_Indah,Wed,8/8/17,10:00,95,17,25
Pondok_Hijau_Indah,Wed,8/8/17,12:00,100,19,28
Pondok_Hijau_Indah,Wed,8/8/17,14:00,92,22,33
Pondok_Hijau_Indah,Wed,8/8/17,16:00,90,23,28
Pondok_Hijau_Indah,Thu,8/9/17,10:00,81,16,23
Pondok_Hijau_Indah,Thu,8/9/17,12:00,99,22,30
Pondok_Hijau_Indah,Thu,8/9/17,14:00,89,22,34
Pondok_Hijau_Indah,Thu,8/9/17,16:00,95,18,25
Pondok_Hijau_Indah,Fri,8/10/17,10:00,101,19,21
Pondok_Hijau_Indah,Fri,8/10/17,12:00,98,23,28
Pondok_Hijau_Indah,Fri,8/10/17,14:00,99,21,31
Pondok_Hijau_Indah,Fri,8/10/17,16:00,120,20,29
Pondok_Hijau_Indah,Sat,8/11/17,10:00,94,20,20
Pondok_Hijau_Indah,Sat,8/11/17,12:00,115,18,25
Pondok_Hijau_Indah,Sat,8/11/17,14:00,109,22,28
Pondok_Hijau_Indah,Sat,8/11/17,16:00,107,19,29
Pondok_Hijau_Indah,Sun,8/12/17,10:00,116,17,21
Pondok_Hijau_Indah,Sun,8/12/17,12:00,120,18,30
Pondok_Hijau_Indah,Sun,8/12/17,14:00,94,22,28
Pondok_Hijau_Indah,Sun,8/12/17,16:00,125,20,25
Pondok_Hijau_Indah,Mon,8/20/17,10:00,84,19,25
Pondok_Hijau_Indah,Mon,8/20/17,12:00,95,21,29
Pondok_Hijau_Indah,Mon,8/20/17,14:00,99,25,32
Pondok_Hijau_Indah,Mon,8/20/17,16:00,81,18,29
Pondok_Hijau_Indah,Tue,8/21/17,10:00,88,20,27
