LOCATION,DAY,DATE,TIME_WIB,TDS_PPM,TEMP_RIVER_C,TEMP_AIR_C
Cupang_Ciawitali_R,Wed,6/13/17,14:00,61,23,30
Cupang_Ciawitali_R,Wed,6/13/17,16:00,60,22,25
Cupang_Ciawitali_R,Thu,6/14/17,10:00,65,20,23
Cupang_Ciawitali_R,Thu,6/14/17,12:00,61,21,27
Cupang_Ciawitali_R,Thu,6/14/17,14:00,60,24,32
Cupang_Ciawitali_R,Thu,6/14/17,16:00,64,19,29
Cupang_Ciawitali_R,Fri,6/15/17,10:00,70,18,24
Cupang_Ciawitali_R,Fri,6/15/17,12:00,68,21,29
Cupang_Ciawitali_R,Fri,6/15/17,14:00,67,20,32
Cupang_Ciawitali_R,Fri,6/15/17,16:00,68,18,29
Cupang_Ciawitali_R,Sat,6/16/17,10:00,70,16,24
Cupang_Ciawitali_R,Sat,6/16/17,12:00,67,19,28
Cupang_Ciawitali_R,Sat,6/16/17,14:00,68,20,30
Cupang_Ciawitali_R,Sat,6/16/17,16:00,66,20,26
Cupang_Ciawitali_R,Sun,6/17/17,10:00,70,17,21
Cupang_Ciawitali_R,Sun,6/17/17,12:00,70,21,28
Cupang_Ciawitali_R,Sun,6/17/17,14:00,69,20,29
Cupang_Ciawitali_R,Sun,6/17/17,16:00,70,21,29
Cupang_Ciawitali_R,Mon,6/25/17,10:00,60,19,27
Cupang_Ciawitali_R,Mon,6/25/17,12:00,61,18,26
Cupang_Ciawitali_R,Mon,6/25/17,14:00,63,20,33
Cupang_Ciawitali_R,Mon,6/25/17,16:00,64,18,26
Cupang_Ciawitali_R,Tue,6/26/17,10:00,61,19,23
Cupang_Ciawitali_R,Tue,6/26/17,12:00,63,21,30
Cupang_Ciawitali_R,Tue,6/26/17,14:00,65,25,29
Cupang_Ciawitali_R,Tue,6/26/17,16:00,62,23,29
Cupang_Ciawitali_R,Wed,6/27/17,10:00,60,20,21
Cupang_Ciawitali_R,Wed,6/27/17,12:00,60,21,29
Cupang_Ciawitali_R,Wed,6/27/17,14:00,62,23,29
Cupang_Ciawitali_R,Wed,6/27/17,16:00,60,21,28
Cupang_Ciawitali_R,Thu,6/28/17,10:00,64,18,23
Cupang_Ciawitali_R,Thu,6/28/17,12:00,61,23,28
Cupang_Ciawitali_R,Thu,6/28/17,14:00,63,21,32
Cupang_Ciawitali_R,Thu,6/28/17,16:00,62,21,25
Cupang_Ciawitali_R,Fri,6/29/17,10:00,70,15,21
Cupang_Ciawitali_R,Fri,6/29/17,12:00,70,19,26
Cupang_Ciawitali_R,Fri,6/29/17,14:00,66,21,29
Cupang_Ciawitali_R,Fri,6/29/17,16:00,70,18,26
Cupang_Ciawitali_R,Sat,6/30/17,10:00,70,15,23
Cupang_Ciawitali_R,Sat,6/30/17,12:00,66,20,27
Cupang_Ciawitali_R,Sat,6/30/17,14:00,68,25,34
Cupang_Ciawitali_R,Sat,6/30/17,16:00,67,23,30
Cupang_Ciawitali_R,Sun,7/1/17,10:00,67,17,27
Cupang_Ciawitali_R,Sun,7/1/17,12:00,68,22,30
Cupang_Ciawitali_R,Sun,7/1/17,14:00,67,23,34
Cupang_Ciawitali_R,Sun,7/1/17,16:00,67,23,29
Cupang_Ciawitali_R,Mon,7/23/17,10:00,60,19,23
Cupang_Ciawitali_R,Mon,7/23/17,12:00,63,20,28
Cupang_Ciawitali_R,Mon,7/23/17,14:00,61,20,32
Cupang_Ciawitali_R,Mon,7/23/17,16:00,61,23,26
Cupang_Ciawitali_R,Tue,7/24/17,10:00,65,18,27
Cupang_Ciawitali_R,Tue,7/24/17,12:00,65,21,30
Cupang_Ciawitali_R,Tue,7/24/17,14:00,63,25,32
Cupang_Ciawitali_R,Tue,7/24/17,16:00,60,18,25
Cupang_Ciawitali_R,Wed,7/25/17,10:00,62,19,21
Cupang_Ciawitali_R,Wed,7/25/17,12:00,63,21,25
Cupang_Ciawitali_R,Wed,7/25/17,14:00,63,23,32
Cupang_Ciawitali_R,Wed,7/25/17,16:00,64,20,30
Cupang_Ciawitali_R,Thu,7/26/17,10:00,60,15,21
Cupang_Ciawitali_R,Thu,7/26/17,12:00,61,23,27
Cupang_Ciawitali_R,Thu,7/26/17,14:00,63,20,29
Cupang_Ciawitali_R,Thu,7/26/17,16:00,65,18,26
Cupang_Ciawitali_R,Fri,7/27/17,10:00,66,16,27
Cupang_Ciawitali_R,Fri,7/27/17,12:00,68,23,27
Cupang_Ciawitali_R,Fri,7/27/17,14:00,66,24,28
Cupang_Ciawitali_R,Fri,7/27/17,16:00,66,20,26
Cupang_Ciawitali_R,Sat,7/28/17,10:00,69,16,26
Cupang_Ciawitali_R,Sat,7/28/17,12:00,70,19,26
Cupang_Ciawitali_R,Sat,7/28/17,14:00,70,24,33
Cupang_Ciawitali_R,Sat,7/28/17,16:00,68,23,29
Cupang_Ciawitali_R,Sun,7/29/17,10:00,69,19,23
Cupang_Ciawitali_R,Sun,7/29/17,12:00,68,21,26
Cupang_Ciawitali_R,Sun,7/29/17,14:00,69,22,29
Cupang_Ciawitali_R,Sun,7/29/17,16:00,66,21,30
Cupang_Ciawitali_R,Mon,8/6/17,10:00,65,20,23
Cupang_Ciawitali_R,Mon,8/6/17,12:00,62,19,29
Cupang_Ciawitali_R,Mon,8/6/17,14:00,60,23,33
Cupang_Ciawitali_R,Mon,8/6/17,16:00,62,22,25
Cupang_Ciawitali_R,Tue,8/7/17,10:00,65,19,27
Cupang_Ciawitali_R,Tue,8/7/17,12:00,65,19,25
Cupang_Ciawitali_R,Tue,8/7/17,14:00,63,22,30
Cupang_Ciawitali_R,Tue,8/7/17,16:00,62,22,29
Cupang_Ciawitali_R,Wed,8/8/17,10:00,65,17,25
Cupang_Ciawitali_R,Wed,8/8/17,12:00,62,19,28
Cupang_Ciawitali_R,Wed,8/8/17,14:00,65,22,33
Cupang_Ciawitali_R,Wed,8/8/17,16:00,63,23,28
Cupang_Ciawitali_R,Thu,8/9/17,10:00,60,16,23
Cupang_Ciawitali_R,Thu,8/9/17,12:00,63,22,30
Cupang_Ciawitali_R,Thu,8/9/17,14:00,65,22,34
Cupang_Ciawitali_R,Thu,8/9/17,16:00,64,18,25
Cupang_Ciawitali_R,Fri,8/10/17,10:00,67,19,21
Cupang_Ciawitali_R,Fri,8/10/17,12:00,68,23,28
Cupang_Ciawitali_R,Fri,8/10/17,14:00,70,21,31
Cupang_Ciawitali_R,Fri,8/10/17,16:00,70,20,29
Cupang_Ciawitali_R,Sat,8/11/17,10:00,68,20,20
Cupang_Ciawitali_R,Sat,8/11/17,12:00,67,18,25
Cupang_Ciawitali_R,Sat,8/11/17,14:00,68,22,28
Cupang_Ciawitali_R,Sat,8/11/17,16:00,69,19,29
Cupang_Ciawitali_R,Sun,8/12/17,10:00,70,17,21
Cupang_Ciawitali_R,Sun,8/12/17,12:00,67,18,30
Cupang_Ciawitali_R,Sun,8/12/17,14:00,66,22,28
Cupang_Ciawitali_R,Sun,8/12/17,16:00,68,20,25
Cupang_Ciawitali_R,Mon,8/20/17,10:00,62,19,25
Cupang_Ciawitali_R,Mon,8/20/17,12:00,61,21,29
Cupang_Ciawitali_R,Mon,8/20/17,14:00,63,25,32
Cupang_Ciawitali_R,Mon,8/20/17,16:00,65,18,29
Cupang_Ciawitali_R,Tue,8/21/17,10:00,61,20,27
Cupang_Ciawitali_R,Tue,8/21/17,12:00,63,21,29
Cupang_Ciawitali_R,Tue,8/21/17,14:00,60,22,30
Cupang_Ciawitali_R,Tue,8/21/17,16:00,60,22,25
Cupang_Ciawitali_R,Wed,8/22/17,10:00,62,19,20
Cupang_Ciawitali_R,Wed,8/22/17,12:00,60,23,28
Cupang_Ciawitali_R,Wed,8/22/17,14:00,64,25,33
Cupang_Ciawitali_R,Wed,8/22/17,16:00,63,21,26
Cupang_Ciawitali_R,Thu,8/23/17,10:00,64,19,25
Cupang_Ciawitali_R,Thu,8/23/17,12:00,62,23,27
Cupang_Ciawitali_R,Thu,8/23/17,14:00,60,23,28
Cupang_Ciawitali_R,Thu,8/23/17,16:00,60,23,29
Cupang_Ciawitali_R,Fri,8/24/17,10:00,70,20,25
Cupang_Ciawitali_R,Fri,8/24/17,12:00,68,18,30
Cupang_Ciawitali_R,Fri,8/24/17,14:00,67,21,31
Cupang_Ciawitali_R,Fri,8/24/17,16:00,67,22,27
Cupang_Ciawitali_R,Sat,8/25/17,10:00,66,16,24
Cupang_Ciawitali_R,Sat,8/25/17,12:00,69,23,29
Cupang_Ciawitali_R,Sat,8/25/17,14:00,70,23,32
Cupang_Ciawitali_R,Sat,8/25/17,16:00,69,19,30
Cupang_Ciawitali_R,Sun,8/26/17,10:00,67,18,22
Cupang_Ciawitali_R,Sun,8/26/17,12:00,66,18,25
Cupang_Ciawitali_R,Sun,8/26/17,14:00,68,23,34
Cupang_Ciawitali_R,Sun,8/26/17,16:00,67,21,25
Cupang_Ciawitali_R,Mon,9/3/17,10:00,61,18,20
Cupang_Ciawitali_R,Mon,9/3/17,12:00,61,19,25
Cupang_Ciawitali_R,Mon,9/3/17,14:00,62,25,34
Cupang_Ciawitali_R,Mon,9/3/17,16:00,63,19,30
Cupang_Ciawitali_R,Tue,9/4/17,10:00,61,16,23
Cupang_Ciawitali_R,Tue,9/4/17,12:00,61,20,25
Cupang_Ciawitali_R,Tue,9/4/17,14:00,60,23,34
Cupang_Ciawitali_R,Tue,9/4/17,16:00,65,22,28
Cupang_Ciawitali_R,Wed,9/5/17,10:00,64,18,24
Cupang_Ciawitali_R,Wed,9/5/17,12:00,60,23,28
Cupang_Ciawitali_R,Wed,9/5/17,14:00,60,23,28
Cupang_Ciawitali_R,Wed,9/5/17,16:00,63,19,27
Cupang_Ciawitali_R,Thu,9/6/17,10:00,63,18,27
Cupang_Ciawitali_R,Thu,9/6/17,12:00,63,19,28
Cupang_Ciawitali_R,Thu,9/6/17,14:00,63,25,30
Cupang_Ciawitali_R,Thu,9/6/17,16:00,63,23,27
Cupang_Ciawitali_R,Fri,9/7/17,10:00,69,20,26
Cupang_Ciawitali_R,Fri,9/7/17,12:00,69,21,28
Cupang_Ciawitali_R,Fri,9/7/17,14:00,66,22,31
Cupang_Ciawitali_R,Fri,9/7/17,16:00,68,19,26
Cupang_Ciawitali_R,Sat,9/8/17,10:00,66,16,25
Cupang_Ciawitali_R,Sat,9/8/17,12:00,66,21,30
Cupang_Ciawitali_R,Sat,9/8/17,14:00,67,23,30
Cupang_Ciawitali_R,Sat,9/8/17,16:00,66,18,26
Cupang_Ciawitali_R,Sun,9/9/17,10:00,68,15,24
Cupang_Ciawitali_R,Sun,9/9/17,12:00,68,22,26
Cupang_Ciawitali_R,Sun,9/9/17,14:00,69,24,34
Cupang_Ciawitali_R,Sun,9/9/17,16:00,68,21,27
Cupang_Ciawitali_R,Mon,9/17/17,10:00,65,17,22
Cupang_Ciawitali_R,Mon,9/17/17,12:00,64,18,25
Cupang_Ciawitali_R,Mon,9/17/17,14:00,65,24,29
Cupang_Ciawitali_R,Mon,9/17/17,16:00,63,20,30
Cupang_Ciawitali_R,Tue,9/18/17,10:00,62,20,22
Cupang_Ciawitali_R,Tue,9/18/17,12:00,61,20,26
Cupang_Ciawitali_R,Tue,9/18/17,14:00,61,25,31
Cupang_Ciawitali_R,Tue,9/18/17,16:00,62,18,30
Cupang_Ciawitali_R,Wed,9/19/17,10:00,61,19,26
Cupang_Ciawitali_R,Wed,9/19/17,12:00,65,23,28
Cupang_Ciawitali_R,Wed,9/19/17,14:00,63,23,30
Cupang_Ciawitali_R,Wed,9/19/17,16:00,65,23,27
Cupang_Ciawitali_R,Thu,9/20/17,10:00,61,16,23
Cupang_Ciawitali_R,Thu,9/20/17,12:00,60,21,26
Cupang_Ciawitali_R,Thu,9/20/17,14:00,61,20,28
Cupang_Ciawitali_R,Thu,9/20/17,16:00,64,20,29
Cupang_Ciawitali_R,Fri,9/21/17,10:00,69,19,24
Cupang_Ciawitali_R,Fri,9/21/17,12:00,70,22,30
Cupang_Ciawitali_R,Fri,9/21/17,14:00,66,22,28
Cupang_Ciawitali_R,Fri,9/21/17,16:00,69,23,28
Cupang_Ciawitali_R,Sat,9/22/17,10:00,69,17,20
Cupang_Ciawitali_R,Sat,9/22/17,12:00,70,20,28
Cupang_Ciawitali_R,Sat,9/22/17,14:00,67,25,33
Cupang_Ciawitali_R,Sat,9/22/17,16:00,68,20,28
Cupang_Ciawitali_R,Sun,9/23/17,10:00,68,16,27
Cupang_Ciawitali_R,Sun,9/23/17,12:00,66,23,28
Cupang_Ciawitali_R,Sun,9/23/17,14:00,70,20,29
Cupang_Ciawitali_R,Sun,9/23/17,16:00,69,23,30
Cupang_Ciawitali_R,Mon,10/1/17,10:00,60,20,20
Cupang_Ciawitali_R,Mon,10/1/17,12:00,60,19,25
Cupang_Ciawitali_R,Mon,10/1/17,14:00,65,22,28
Cupang_Ciawitali_R,Mon,10/1/17,16:00,63,18,27
Cupang_Ciawitali_R,Tue,10/2/17,10:00,60,18,24
